lat,lon,sat
88,3,-9999
89,3,-9999
90,3,-9999
91,3,-9999
92,3,-9999
93,3,-9999
94,3,-9999
95,3,-9999
96,3,-9999
97,3,-9999
98,3,-9999
0,4,-9999
1,4,-9999
2,4,-9999
3,4,-9999
4,4,-9999
5,4,-9999
6,4,-9999
7,4,-9999
8,4,-9999
9,4,-9999
10,4,-9999
11,4,-9999
12,4,-9999
13,4,-9999
14,4,-9999
15,4,-9999
16,4,-9999
17,4,-9999
18,4,-9999
19,4,-9999
20,4,175.834
21,4,180.0222
22,4,185.1697
23,4,192.7637
24,4,204.7177
25,4,221.3893
26,4,213.551
27,4,143.451
28,4,65.04856
29,4,41.84872
30,4,88.6381
31,4,126.8027
32,4,156.8323
33,4,160.0099
34,4,126.4283
35,4,96.16506
36,4,75.16536
37,4,75.17004
38,4,81.41397
39,4,75.26917
40,4,69.58292
41,4,71.27089
42,4,100.4594
43,4,-9999
44,4,-9999
45,4,-9999
46,4,-9999
47,4,-9999
48,4,-9999
49,4,-9999
50,4,-9999
51,4,-9999
52,4,-9999
53,4,-9999
54,4,-9999
55,4,-9999
56,4,-9999
57,4,-9999
58,4,-9999
59,4,-9999
60,4,-9999
61,4,-9999
62,4,-9999
63,4,-9999
64,4,-9999
65,4,-9999
66,4,-9999
67,4,-9999
68,4,-9999
69,4,-9999
70,4,-9999
71,4,-9999
72,4,-9999
73,4,-9999
74,4,-9999
75,4,-9999
76,4,-9999
77,4,-9999
78,4,-9999
79,4,-9999
80,4,-9999
81,4,-9999
82,4,-9999
83,4,-9999
84,4,-9999
85,4,-9999
86,4,-9999
87,4,-9999
88,4,-9999
89,4,-9999
90,4,-9999
91,4,-9999
92,4,-9999
93,4,-9999
94,4,-9999
95,4,-9999
96,4,-9999
97,4,-9999
98,4,-9999
0,5,-9999
1,5,-9999
2,5,-9999
3,5,-9999
4,5,-9999
5,5,-9999
6,5,-9999
7,5,-9999
8,5,-9999
9,5,-9999
10,5,-9999
11,5,-9999
12,5,-9999
13,5,-9999
14,5,-9999
15,5,-9999
16,5,-9999
17,5,-9999
18,5,-9999
19,5,-9999
20,5,176.9888
21,5,181.353
22,5,186.1269
23,5,193.1156
24,5,207.695
25,5,232.7871
26,5,226.7997
27,5,144.3427
28,5,50.41278
29,5,19.90219
30,5,86.65481
31,5,128.2323
32,5,165.2973
33,5,174.5234
34,5,128.3246
35,5,95.09254
36,5,65.43548
37,5,68.98479
38,5,80.28249
39,5,74.50937
40,5,58.14615
41,5,65.36491
42,5,100.929
43,5,118.0605
44,5,128.8036
45,5,132.0606
46,5,142.6001
47,5,133.2708
48,5,128.4621
49,5,151.2005
50,5,-9999
51,5,-9999
52,5,-9999
53,5,-9999
54,5,-9999
55,5,-9999
56,5,-9999
57,5,-9999
58,5,-9999
59,5,-9999
60,5,-9999
61,5,-9999
62,5,-9999
63,5,-9999
64,5,-9999
65,5,-9999
66,5,-9999
67,5,-9999
68,5,-9999
69,5,-9999
70,5,-9999
71,5,-9999
72,5,-9999
73,5,-9999
74,5,-9999
75,5,-9999
76,5,-9999
77,5,-9999
78,5,-9999
79,5,-9999
80,5,-9999
81,5,-9999
82,5,-9999
83,5,-9999
84,5,-9999
85,5,-9999
86,5,-9999
87,5,-9999
88,5,-9999
89,5,-9999
90,5,-9999
91,5,-9999
92,5,-9999
93,5,-9999
94,5,-9999
95,5,-9999
96,5,-9999
97,5,-9999
98,5,-9999
0,6,-9999
1,6,-9999
2,6,-9999
3,6,-9999
4,6,-9999
5,6,-9999
6,6,-9999
7,6,-9999
8,6,-9999
9,6,-9999
10,6,-9999
11,6,-9999
12,6,-9999
13,6,-9999
14,6,-9999
15,6,-9999
16,6,-9999
17,6,-9999
18,6,-9999
19,6,-9999
20,6,178.9781
21,6,182.402
22,6,186.4834
23,6,190.2377
24,6,199.6745
25,6,220.0018
26,6,215.0041
27,6,144.8399
28,6,62.22643
29,6,36.1838
30,6,92.66894
31,6,128.277
32,6,161.2011
33,6,167.0046
34,6,124.412
35,6,94.24141
36,6,64.1274
37,6,68.3428
38,6,80.73201
39,6,71.28555
40,6,27.63839
41,6,93.88196
42,6,99.77331
43,6,119.183
44,6,136.9235
45,6,140.0903
46,6,143.6091
47,6,131.3154
48,6,125.9551
49,6,156.4053
50,6,173.06
51,6,140.4346
