lat,lon,sat
138,2,-9999
139,2,-9999
140,2,-9999
141,2,-9999
142,2,-9999
143,2,-9999
144,2,-9999
145,2,-9999
146,2,-9999
147,2,-9999
148,2,-9999
0,3,-9999
1,3,-9999
2,3,-9999
3,3,-9999
4,3,-9999
5,3,-9999
6,3,-9999
7,3,-9999
8,3,-9999
9,3,-9999
10,3,-9999
11,3,-9999
12,3,-9999
13,3,-9999
14,3,-9999
15,3,-9999
16,3,-9999
17,3,-9999
18,3,-9999
19,3,-9999
20,3,174.6671
21,3,178.5769
22,3,183.3941
23,3,189.952
24,3,198.303
25,3,208.0851
26,3,210.2879
27,3,198.4388
28,3,172.8596
29,3,142.5896
30,3,110.7265
31,3,81.7379
32,3,63.262
33,3,63.33955
34,3,77.35861
35,3,93.47981
36,3,111.2633
37,3,125.3026
38,3,137.7745
39,3,146.3164
40,3,152.1855
41,3,147.6342
42,3,136.9273
43,3,123.5433
44,3,109.6127
45,3,97.81316
46,3,87.4966
47,3,82.08521
48,3,79.503
49,3,-9999
50,3,-9999
51,3,-9999
52,3,-9999
53,3,-9999
54,3,-9999
55,3,-9999
56,3,-9999
57,3,-9999
58,3,-9999
59,3,-9999
60,3,-9999
61,3,-9999
62,3,-9999
63,3,-9999
64,3,-9999
65,3,-9999
66,3,-9999
67,3,-9999
68,3,-9999
69,3,-9999
70,3,-9999
71,3,-9999
72,3,-9999
73,3,-9999
74,3,-9999
75,3,-9999
76,3,-9999
77,3,-9999
78,3,-9999
79,3,-9999
80,3,-9999
81,3,-9999
82,3,-9999
83,3,-9999
84,3,-9999
85,3,-9999
86,3,-9999
87,3,-9999
88,3,-9999
89,3,-9999
90,3,-9999
91,3,-9999
92,3,-9999
93,3,-9999
94,3,-9999
